address,suburb,price,bedrooms,bathrooms,garage,landsize,floor_area,build_year,cbd_dist,nearest_stn,nearest_stn_dist,date_sold,post_code,latitude,longitude,nearest_sch,nearest_sch_dist,nearest_sch_rank
1 Ashcott Gate,Butler,0.2183048433048432,0.3333333333333332,0.0,0.0,0.2455089820359266,0.3884057971014493,0.8292682926829275,0.7895927601809954,Butler Station,0.1998438719750195,11-2018,0.1952662721893488,0.9577495652569,0.0445578888805103,BUTLER COLLEGE,0.1738675234364466,0.2753623188405797
1 Babbler Court,Maida Vale,0.3625356125356124,0.6666666666666665,0.0,0.0,0.3909324208725249,0.5826086956521741,0.8292682926829275,0.3144796380090498,Midland Station,0.6779859484777516,10-2020,0.3195266272189351,0.5541144228865634,0.795397131487669,DARLING RANGE SPORTS COLLEGE,0.7627828859402122,0.9855072463768116
1 Barcroft Court,Atwell,0.2877492877492876,0.6666666666666665,0.0,0.0,0.2899914456800675,0.4318840579710145,0.7926829268292676,0.4366515837104073,Cockburn Central Station,0.1510538641686181,08-2017,0.9526627218934912,0.3033012261483566,0.4329904854405331,ATWELL COLLEGE,0.192757010979247,0.927536231884058
1 Batoni Way,Ashby,0.3233618233618233,0.3333333333333332,0.0,0.0,0.2369546621043117,0.3942028985507245,0.8780487804878038,0.5339366515837103,Joondalup Station,0.3169398907103824,09-2014,0.3668639053254438,0.8513149287315369,0.2742583547072919,WANNEROO SECONDARY COLLEGE,0.875288629356816,0.9420289855072465
1 Bindoon Close,Gwelup,0.5512820512820512,0.6666666666666665,0.0,0.0,0.3156544054747413,0.4231884057971014,0.7682926829268276,0.2126696832579184,Warwick Station,0.268149882903981,06-2016,0.088757396449702,0.6657795015164188,0.2696446420488916,BALCATTA SENIOR HIGH SCHOOL,0.4099448212463231,0.9710144927536232
1 Binnia Mews,Harrisdale,0.2998575498575498,0.6666666666666665,0.0,0.0,0.3062446535500076,0.3710144927536232,0.8902439024390237,0.3981900452488687,Cockburn Central Station,0.5511319281811083,11-2020,0.6449704142011801,0.3326668538311267,0.551703945383207,CAREY BAPTIST COLLEGE,0.4884525944386796,0.4420289855072464
1 Bittern Close,Maida Vale,0.2877492877492876,0.3333333333333332,0.0,0.0,0.4354148845166659,0.3449275362318841,0.8170731707317075,0.3031674208144796,Midland Station,0.7072599531615924,07-2019,0.3195266272189351,0.5499581208570543,0.7843408173657088,DARLING RANGE SPORTS COLLEGE,0.6341745536518083,0.9855072463768116
1 Boncath Road,Butler,0.212962962962963,0.3333333333333332,0.0,0.0,0.2446535500427223,0.3072463768115941,0.8658536585365838,0.8280542986425339,Butler Station,0.0312256049960966,12-2020,0.1952662721893488,0.9788573518829644,0.0398571873113904,BUTLER COLLEGE,0.4507636909560702,0.2753623188405797
1 Bonita Way,Tapping,0.341168091168091,0.6666666666666665,0.0,0.0,0.4533789563729289,0.5710144927536233,0.8536585365853674,0.5769230769230768,Currambine Station,0.4633099141295862,03-2018,0.3668639053254438,0.8740855475536007,0.2745751923657493,JOSEPH BANKS SECONDARY COLLEGE,0.5382245921162371,0.6594202898550724
1 Boronia Court,Thornlie,0.2556980056980056,0.3333333333333332,0.0,0.0,0.4867408041060131,0.4028985507246378,0.6829268292682912,0.334841628959276,Thornlie Station,0.3266978922716627,06-2020,0.6213017751479258,0.3853848066203359,0.6200520047525646,THORNLIE SENIOR HIGH SCHOOL,0.4745544228244006,0.8985507246376812
1 Bradstocks Grove,Southern River,0.5121082621082621,0.6666666666666665,0.0,0.0,0.2874251497005404,0.8144927536231885,0.9756097560975602,0.3891402714932127,Thornlie Station,0.5608899297423887,09-2018,0.6331360946745558,0.3551959739053048,0.6347802410229253,PROVIDENCE CHRISTIAN COLLEGE,0.4063363920149758,0.2681159420289855
1 Brittain Avenue,Madeley,0.3696581196581195,0.6666666666666665,0.0,0.0,0.3678357570572929,0.4753623188405796,0.8414634146341474,0.3303167420814479,Greenwood Station,0.3754879000780637,07-2017,0.3668639053254438,0.7444243174428032,0.3319277591279275,KINGSWAY CHRISTIAN COLLEGE,0.3383761920168444,0.3550724637681159
1 Bruning Road,Manning,0.4672364672364671,0.3333333333333332,0.0,0.0,0.3994867408040543,0.4405797101449274,0.731707317073171,0.1131221719457013,Canning Bridge Station,0.1315378610460575,02-2018,0.8816568047337284,0.4776357578550331,0.4433867211074367,COMO SECONDARY COLLEGE,0.1462196623668394,0.6231884057971014
